QQQ: Invesco QQQ Trust Series I
Inception Date: 1999-03-10
Fund Holdings as of: 2026-01-13
Total Assets Under Management (in thousands):	412126000
Shares Outstanding: 658150000
Expense Ratio: 0.2%
Tracks This Index: NASDAQ-100 Index
ETF Database Category: Large Cap Growth Equities
Issuer: Invesco
Structure: UIT
ETF Home Page: https://etfdb.com/etf/QQQ


Holding,Symbol,Weighting
NVIDIA Corporation,NVDA,8.8366%
Apple Inc.,AAPL,7.5492%
Microsoft Corporation,MSFT,6.8462%
"Amazon.com, Inc.",AMZN,5.0756%
"Tesla, Inc.",TSLA,3.8716%
Alphabet Inc. Class A,GOOGL,3.8254%
Meta Platforms Inc Class A,META,3.6273%
Alphabet Inc. Class C,GOOG,3.5601%
Broadcom Inc.,AVGO,3.2773%
Costco Wholesale Corporation,COST,2.2554%
Palantir Technologies Inc. Class A,PLTR,2.2087%
"Netflix, Inc.",NFLX,2.0678%
"Micron Technology, Inc.",MU,2.0559%
"Advanced Micro Devices, Inc.",AMD,1.9437%
"Cisco Systems, Inc.",CSCO,1.6111%
Lam Research Corporation,LRCX,1.4548%
"Applied Materials, Inc.",AMAT,1.3122%
Intel Corporation,INTC,1.2187%
"T-Mobile US, Inc.",TMUS,1.1462%
Linde plc,LIN,1.1174%
AppLovin Corp. Class A,APP,1.1112%
"Shopify, Inc. Class A",SHOP,1.106%
"Intuitive Surgical, Inc.",ISRG,1.0761%
"PepsiCo, Inc.",PEP,1.06%
KLA Corporation,KLAC,1.0235%
QUALCOMM Incorporated,QCOM,0.9564%
Amgen Inc.,AMGN,0.9435%
Booking Holdings Inc.,BKNG,0.9256%
Texas Instruments Incorporated,TXN,0.9255%
Intuit Inc.,INTU,0.91%
"Gilead Sciences, Inc.",GILD,0.8162%
"Analog Devices, Inc.",ADI,0.7836%
Honeywell International Inc.,HON,0.7213%
"Palo Alto Networks, Inc.",PANW,0.7187%
Adobe Inc.,ADBE,0.701%
"CrowdStrike Holdings, Inc. Class A",CRWD,0.6346%
Vertex Pharmaceuticals Incorporated,VRTX,0.6233%
ASML Holding NV Sponsored ADR,ASML,0.6021%
"MercadoLibre, Inc.",MELI,0.568%
Constellation Energy Corporation,CEG,0.5628%
"Automatic Data Processing, Inc.",ADP,0.5617%
Comcast Corporation Class A,CMCSA,0.5592%
Starbucks Corporation,SBUX,0.5564%
"Synopsys, Inc.",SNPS,0.5136%
"DoorDash, Inc. Class A",DASH,0.4773%
"Cadence Design Systems, Inc.",CDNS,0.4751%
"Marriott International, Inc. Class A",MAR,0.4683%
"O\'Reilly Automotive, Inc.",ORLY,0.4316%
"Regeneron Pharmaceuticals, Inc.",REGN,0.4235%
Cintas Corporation,CTAS,0.4184%
Monster Beverage Corporation,MNST,0.414%
PDD Holdings Inc. Sponsored ADR Class A,PDD,0.4053%
Western Digital Corporation,WDC,0.3953%
"Mondelez International, Inc. Class A",MDLZ,0.39%
"Marvell Technology, Inc.",MRVL,0.3868%
"Warner Bros. Discovery, Inc. Series A",WBD,0.3864%
Seagate Technology Holdings PLC,STX,0.3674%
CSX Corporation,CSX,0.3585%
"Ross Stores, Inc.",ROST,0.3395%
PACCAR Inc,PCAR,0.3389%
"American Electric Power Company, Inc.",AEP,0.3365%
NXP Semiconductors NV,NXPI,0.3251%
"Airbnb, Inc. Class A",ABNB,0.3219%
"Fortinet, Inc.",FTNT,0.3147%
"Autodesk, Inc.",ADSK,0.31%
"IDEXX Laboratories, Inc.",IDXX,0.3081%
Thomson Reuters Corporation,TRI,0.3041%
AstraZeneca PLC Sponsored ADR,AZN,0.2981%
"PayPal Holdings, Inc.",PYPL,0.2859%
Electronic Arts Inc.,EA,0.2761%
Axon Enterprise Inc,AXON,0.2735%
Ferrovial SE,FER,0.2686%
"Alnylam Pharmaceuticals, Inc",ALNY,0.2641%
Fastenal Company,FAST,0.2631%
Baker Hughes Company Class A,BKR,0.2611%
"Monolithic Power Systems, Inc.",MPWR,0.2545%
Strategy Inc Class A,MSTR,0.2502%
"Roper Technologies, Inc.",ROP,0.248%
"Take-Two Interactive Software, Inc.",TTWO,0.2471%
Xcel Energy Inc.,XEL,0.2395%
Exelon Corporation,EXC,0.2365%
"Diamondback Energy, Inc.",FANG,0.2341%
"Workday, Inc. Class A",WDAY,0.2296%
Coca-Cola Europacific Partners plc,CCEP,0.2215%
"Datadog, Inc. Class A",DDOG,0.2207%
Cognizant Technology Solutions Corporation Class A,CTSH,0.2203%
Microchip Technology Incorporated,MCHP,0.2163%
"Paychex, Inc.",PAYX,0.2132%
GE Healthcare Technologies Inc.,GEHC,0.2086%
"Copart, Inc.",CPRT,0.2085%
Keurig Dr Pepper Inc.,KDP,0.2035%
"Old Dominion Freight Line, Inc.",ODFL,0.1939%
Insmed Incorporated,INSM,0.1887%
"Zscaler, Inc.",ZS,0.1868%
"Verisk Analytics, Inc.",VRSK,0.1672%
Kraft Heinz Company,KHC,0.1503%
"DexCom, Inc.",DXCM,0.148%
"CoStar Group, Inc.",CSGP,0.1416%
"Charter Communications, Inc. Class A",CHTR,0.1384%
Atlassian Corp Class A,TEAM,0.1252%
U.S. Dollar,0.0919%
ARM Holdings PLC Sponsored ADR,ARM,0.0806%
"Versant Media Group, Inc. Class A",VSNT,0.0268%
